lon,lat,average,mean,min,max,median,stdev,variance,perc_90,perc_95,perc_99
28.38614066,42.33005327,5.989171981811523,5.989171981811523,0.8108364343643188,19.584232330322266,5.529748916625977,2.7295210361480713,7.450284481048584,9.748528671264648,11.194269180297844,13.857291526794448
28.49578978,42.33005327,5.989171981811523,5.989171981811523,0.8108364343643188,19.584232330322266,5.529748916625977,2.7295210361480713,7.450284481048584,9.748528671264648,11.194269180297844,13.857291526794448
28.6054389,42.33005327,6.111220359802246,6.111220359802246,0.79294753074646,19.407617568969727,5.677243709564209,2.770219326019287,7.674115180969238,9.942892837524413,11.328549766540528,13.893135299682632
28.71508802,42.33005327,6.165058612823486,6.165058612823486,0.8136003613471985,18.81402015686035,5.734469413757324,2.777036666870117,7.711932182312012,9.994492530822754,11.437894630432128,13.874697380065921
28.82473715,42.33005327,6.196714878082275,6.196714878082275,0.8093426823616028,18.676387786865234,5.774548530578613,2.796560764312744,7.8207526206970215,10.059582328796386,11.439568138122553,13.877877922058106
28.93438627,42.33005327,6.210692882537842,6.210692882537842,0.8252270221710205,18.8016300201416,5.80002498626709,2.813105583190918,7.913562774658203,10.102919960021973,11.483186340332031,13.905819778442389
29.04403539,42.33005327,6.20876932144165,6.20876932144165,0.8759061098098755,18.48778533935547,5.813620567321777,2.8130381107330322,7.913183212280273,10.072451210021972,11.47568340301513,13.923810577392581
29.15368452,42.33005327,6.222049236297607,6.222049236297607,0.7388579249382019,18.413970947265625,5.828149318695068,2.828470468521118,8.000245094299316,10.097597694396972,11.514679718017577,14.015517730712894
29.26333364,42.33005327,6.222049236297607,6.222049236297607,0.7388579249382019,18.413970947265625,5.828149318695068,2.828470468521118,8.000245094299316,10.097597694396972,11.514679718017577,14.015517730712894
29.37298276,42.33005327,6.203856468200684,6.203856468200684,0.7576375007629395,18.1848087310791,5.805890083312988,2.8214216232299805,7.960420608520508,10.091496086120605,11.445930099487304,13.912964096069352
29.48263188,42.33005327,6.187967777252197,6.187967777252197,0.7330543994903564,17.92654800415039,5.794917106628418,2.827761650085449,7.996235370635986,10.115288162231446,11.471480751037594,13.912343254089373
29.59228101,42.33005327,6.173211097717285,6.173211097717285,0.6901653409004211,18.08683204650879,5.779163837432861,2.819493293762207,7.949542999267578,10.07917537689209,11.403156280517571,13.81697246551515
29.70193013,42.33005327,6.193887710571289,6.193887710571289,0.7925248742103577,18.243078231811523,5.801151275634766,2.831650972366333,8.018247604370117,10.150503730773924,11.440145874023436,13.879706344604495
29.81157925,42.33005327,6.189093589782715,6.189093589782715,0.8669406771659851,18.515485763549805,5.804248332977295,2.823622941970825,7.972846031188965,10.120092582702636,11.45170612335205,13.84684280395509
29.92122838,42.33005327,6.146947860717773,6.146947860717773,0.7822469472885132,18.711210250854492,5.76106071472168,2.809279441833496,7.8920512199401855,10.039191818237304,11.393344116210937,13.846588821411133
30.0308775,42.33005327,6.146947860717773,6.146947860717773,0.7822469472885132,18.711210250854492,5.76106071472168,2.809279441833496,7.8920512199401855,10.039191818237304,11.393344116210937,13.846588821411133
30.14052662,42.33005327,6.122944355010986,6.122944355010986,0.6824254989624023,18.932615280151367,5.731855392456055,2.804741382598877,7.866573810577393,9.99753322601318,11.360950851440425,13.756912841796876
30.25017574,42.33005327,6.0816450119018555,6.0816450119018555,0.6834195256233215,19.11453628540039,5.68104887008667,2.7920265197753906,7.795412063598633,9.977860260009765,11.25782604217529,13.686407775878918
28.38614066,42.22016316,5.9784674644470215,5.9784674644470215,0.815001368522644,19.60213279724121,5.525330543518066,2.7333364486694336,7.471128463745117,9.73985595703125,11.173342514038083,13.861720886230486
28.49578978,42.22016316,6.106585502624512,6.106585502624512,0.7529349327087402,19.242416381835938,5.679088592529297,2.764608860015869,7.643062591552734,9.936244583129882,11.368104934692376,13.865835075378422
28.6054389,42.22016316,6.106585502624512,6.106585502624512,0.7529349327087402,19.242416381835938,5.679088592529297,2.764608860015869,7.643062591552734,9.936244583129882,11.368104934692376,13.865835075378422
28.71508802,42.22016316,6.1593546867370605,6.1593546867370605,0.7375123500823975,18.8662052154541,5.742575645446777,2.7768747806549072,7.711033821105957,9.998122978210448,11.415468978881837,13.929391975402835
28.82473715,42.22016316,6.20490837097168,6.20490837097168,0.8469841480255127,18.65487289428711,5.796992301940918,2.783055067062378,7.745395183563232,10.0504581451416,11.434947013854968,13.876007843017584
28.93438627,42.22016316,6.196714878082275,6.196714878082275,0.8093426823616028,18.676387786865234,5.774548530578613,2.796560764312744,7.8207526206970215,10.059582328796386,11.439568138122553,13.877877922058106
29.04403539,42.22016316,6.199994087219238,6.199994087219238,0.8750235438346863,18.43931007385254,5.794166564941406,2.7986581325531006,7.832487106323242,10.042719841003418,11.434100341796869,13.85186752319338
29.15368452,42.22016316,6.204522609710693,6.204522609710693,0.8540353775024414,18.348129272460938,5.804246425628662,2.808924913406372,7.890058994293213,10.034036636352537,11.435290908813473,13.904976119995117
29.26333364,42.22016316,6.194812774658203,6.194812774658203,0.8078450560569763,18.097625732421875,5.794559955596924,2.812145471572876,7.908161640167236,10.070808792114256,11.404486274719233,13.866685638427736
29.37298276,42.22016316,6.194812774658203,6.194812774658203,0.8078450560569763,18.097625732421875,5.794559955596924,2.812145471572876,7.908161640167236,10.070808792114256,11.404486274719233,13.866685638427736
29.48263188,42.22016316,6.184074878692627,6.184074878692627,0.7087540626525879,17.93451690673828,5.788231372833252,2.820312976837158,7.954165458679199,10.087099647521972,11.432474327087402,13.869866943359382
